Merchant_id,Negative,Normal,Positive
10001,1440,9618,151
10002,4,287,0
10003,0,691,0
10004,0,449,0
10005,0,513,0
10006,781,396,12
10007,5,5095,3
10008,0,1433,0
10009,0,1420,0
10010,0,177,0
10011,0,449,0
10012,127,3382,9
10013,0,490,0
10014,338,3346,3
10015,0,153,0
10100,0,402,0
10101,0,217,0
10102,98,892,24
10103,8,1672,0
10104,0,325,0
10105,0,384,0
10106,0,581,0
10107,102,1238,15
10108,0,221,0
10109,0,291,0
10110,6,452,1
10111,85,879,21
10112,226,818,289
10113,0,830,0
10114,28,7591,5
10115,0,233,0
10200,0,121,0
10201,0,160,0
10202,0,2201,0
10203,0,436,2
10204,0,182,0
10205,0,220,0
10206,4,231,1
10207,0,1308,4
10208,0,178,0
10209,0,488,0
10210,108,266,15
10211,255,467,5
10212,27,432,1
10213,0,291,0
10214,0,664,0
10215,1,577,1
10300,0,890,0
10301,0,384,2
10302,0,590,0
10303,0,109,0
10304,6,451,11
10305,0,254,0
10306,0,2081,0
10307,0,396,0
10308,0,582,0
10309,0,555,0
10310,0,255,0
10311,0,348,0
10312,0,976,0
10313,0,782,0
10314,0,641,0
10315,4,1297,6
10400,5,669,0
10401,8,534,49
10402,0,180,0
10403,0,1246,0
10404,206,1518,15
10405,0,153,0
10406,117,190,2
10407,208,1759,5
10408,0,615,0
10409,0,247,0
10410,0,598,0
10411,0,822,0
10412,10,1072,4
10413,35,178,13
10414,227,2262,46
10415,1,870,0
10500,314,155,4
10501,0,475,0
10502,0,442,0
10503,4,1375,89
10504,168,979,11
10505,3,643,0
10506,0,419,1
10507,0,94,0
10508,194,2030,23
10509,0,242,0
10510,0,703,0
10511,8,4121,3
10512,4,559,0
10513,0,454,0
10514,0,462,0
10515,61,1783,138
10600,0,353,0
10601,8,832,7
10602,0,1108,0
10603,6,322,5
10604,0,311,0
10605,1,162,2
10606,0,589,0
10607,0,385,0
10608,3,257,0
10609,0,433,0
10610,0,160,0
10611,4,1119,2
10612,0,453,0
10613,0,896,0
10614,0,513,0
10615,0,270,0
10700,0,352,0
10701,0,514,0
10702,0,975,0
10703,0,241,0
10704,165,2704,43
10705,2,1580,0
10706,0,692,0
10707,39,345,5
10708,19,2099,34
10709,1525,4178,486
10710,0,306,0
10711,12,1182,2
10712,3,380,2
10713,0,882,0
10714,167,1708,40
10715,38,632,4
10800,206,1020,87
10801,0,215,0
10802,4,2309,0
10803,1,168,1
10804,0,896,0
10805,0,285,0
10806,0,193,0
10807,45,1554,15
10808,32,463,19
10809,0,353,0
10810,1,287,3
10811,0,876,0
10812,0,2482,0
10813,0,5754,0
10814,0,372,0
10815,0,991,0
10900,0,1924,0
10901,0,449,0
10902,0,11427,0
10903,32,585,6
10904,0,537,0
10905,0,2416,0
10906,0,581,0
10907,0,1858,2
10908,0,614,0
10909,0,545,0
10910,0,709,0
10911,81,2657,58
10912,0,414,0
10913,44,398,7
10914,1,341,1
10915,77,1092,15
11000,0,495,0
11001,0,222,0
11002,42,698,14
11003,0,355,0
11004,0,415,0
11005,0,390,0
11006,0,413,0
11007,0,1170,0
11008,0,220,0
11009,0,810,35
11010,0,378,0
11011,0,1010,0
11012,0,209,0
11013,8,653,4
11014,0,187,1
11015,0,139,0
11100,17,449,6
11101,0,128,0
11102,0,456,0
11103,1325,4151,487
11104,0,335,0
11105,405,3769,45
11106,458,710,9
11107,13,356,2
11108,0,297,0
11109,134,660,3
11110,26,227,5
11111,0,499,12
11112,1,2715,223
11113,0,428,0
11114,0,919,0
11115,0,289,0
11200,0,945,0
11201,90,891,22
11202,0,176,0
11203,0,565,0
11204,414,178,0
11205,0,357,0
11206,0,222,0
11207,26,583,5
11208,0,280,0
11209,0,291,0
11210,0,114,0
11211,15,143,4
11212,0,693,0
11213,190,222,4
11214,0,375,0
11215,0,1384,0
11300,35,351,15
11301,0,230,0
11302,255,4236,58
11303,0,449,0
11304,0,713,0
11305,32,1005,35
11306,0,718,0
11307,9,342,4
11308,3,1318,0
11309,0,829,0
11310,0,518,0
11311,0,599,0
11312,0,371,0
11313,0,545,0
11314,0,1710,0
11315,0,191,0
11400,1,197,0
11401,0,697,0
11402,7,657,20
11403,0,148,0
11404,0,510,0
11405,3,1445,25
11406,0,217,0
11407,0,314,0
11408,0,222,0
11409,0,206,0
11410,0,258,0
11411,0,479,0
11412,0,2188,0
11413,0,399,0
11414,0,221,0
11415,0,1863,10
11500,99,1531,3
11501,0,178,0
11502,0,217,0
11503,0,353,0
11504,28,1683,3
11505,19,601,3
11506,10,848,10
11507,6,1430,11
11508,0,1684,0
11509,0,180,0
11510,0,876,0
11511,0,149,0
11512,0,1235,0
11513,0,449,0
11514,3,1470,1
11515,0,756,0
11600,0,664,0
11601,0,311,0
11602,0,707,0
11603,0,153,0
11604,2,337,0
11605,0,88,0
11606,0,1944,0
11607,0,304,0
11608,0,381,0
11609,1,661,2
11610,0,280,0
11611,29,300,9
11612,0,1564,0
11613,0,567,0
11614,0,660,0
11615,3,255,5
11700,4,274,2
11701,12,332,1
11702,282,863,15
11703,15,1051,3
11704,0,976,0
11705,0,138,0
11706,0,270,2
11707,0,297,0
11708,0,257,0
11709,0,114,0
11710,0,406,0
11711,2,836,3
11712,946,21386,345
11713,58,660,17
11714,0,174,0
11715,0,187,0
11800,0,611,0
11801,0,232,0
11802,0,2356,0
11803,51,159,20
11804,0,742,0
11805,0,360,0
11806,44,1147,174
11807,218,296,0
11808,13,245,1
11809,7,365,4
11810,0,294,0
11811,0,253,0
11812,0,391,0
11813,72,1128,8
11814,3,1082,3
11815,0,709,0
11900,0,172,0
11901,0,632,0
11902,0,666,0
11903,75,2021,46
11904,0,4776,0
11905,0,227,0
11906,0,756,0
11907,0,195,0
11908,0,265,0
11909,0,879,0
11910,0,293,0
11911,0,1093,1
11912,0,905,0
11913,78,2550,10
11914,4,1182,2
11915,101,1119,172
12000,63,287,2
12001,189,377,0
12002,44,575,25
12003,0,3151,34
12004,5,337,2
12005,0,674,0
12006,0,270,0
12007,7,115,3
12008,963,1292,17
12009,7,507,3
12010,328,7091,456
12011,404,872,76
12012,0,695,0
12013,17,2959,8
12014,76,863,16
12015,0,315,0
12100,0,335,0
12101,0,342,0
12102,13,483,4
12103,0,198,0
12104,0,202,0
12105,0,373,0
12106,0,245,0
12107,0,161,0
12108,0,461,0
12109,0,54,0
